,index,date,open,high,low,close,volume,Name,Average
203,307478,2015-10-21,104.91,105.99,103.85,103.92,704595,ROK,104.91999999999999
204,307479,2015-10-22,103.94,107.58,103.57,107.05,1639959,ROK,105.57499999999999
205,307480,2015-10-23,108.26,109.19,107.85,108.04,1101974,ROK,108.52
206,307481,2015-10-26,108.29,108.96,107.41,107.57,578693,ROK,108.185
207,307482,2015-10-27,106.58,106.96,103.99,105.24,1161702,ROK,105.475
208,307483,2015-10-28,105.84,109.0,105.45,108.72,1107733,ROK,107.225
209,307484,2015-10-29,107.32,108.6,107.19,108.56,909824,ROK,107.895
210,307485,2015-10-30,108.88,110.47,108.7,109.16,1079370,ROK,109.58500000000001
211,307486,2015-11-02,109.2,110.77,108.18,110.56,701047,ROK,109.475
212,307487,2015-11-03,110.02,110.96,109.16,110.14,908692,ROK,110.06
213,307488,2015-11-04,110.64,111.03,109.13,109.63,778539,ROK,110.08
214,307489,2015-11-05,109.45,110.05,108.74,108.95,1028081,ROK,109.395
215,307490,2015-11-06,108.68,109.43,107.69,109.0,1417277,ROK,108.56
216,307491,2015-11-09,108.98,108.98,106.95,107.79,1856800,ROK,107.965
217,307492,2015-11-10,102.11,104.72,101.82,104.18,2963672,ROK,103.27
218,307493,2015-11-11,103.25,105.37,101.27,103.91,1485712,ROK,103.32
219,307494,2015-11-12,102.44,104.41,102.0,102.38,1325971,ROK,103.205
220,307495,2015-11-13,101.87,103.99,101.75,102.64,1191003,ROK,102.87
221,307496,2015-11-16,102.1,104.74,102.06,104.65,1277243,ROK,103.4
222,307497,2015-11-17,104.9,105.37,102.55,103.05,886846,ROK,103.96000000000001
223,307498,2015-11-18,103.5,106.19,103.4,106.07,1236678,ROK,104.795
224,307499,2015-11-19,105.72,106.52,104.28,105.76,1074756,ROK,105.4
225,307500,2015-11-20,106.28,107.09,104.94,105.18,1002800,ROK,106.015
226,307501,2015-11-23,105.26,106.17,103.97,104.47,1107221,ROK,105.07
227,307502,2015-11-24,104.3,104.48,103.63,104.01,750821,ROK,104.055
228,307503,2015-11-25,103.91,105.67,103.78,105.13,1335052,ROK,104.725
229,307504,2015-11-27,105.03,107.24,104.82,107.01,685528,ROK,106.03
230,307505,2015-11-30,107.54,107.725,106.3,106.44,1295374,ROK,107.01249999999999
231,307506,2015-12-01,106.42,107.7,105.78,106.92,1138724,ROK,106.74000000000001
232,307507,2015-12-02,106.71,107.51,105.17,105.27,1252876,ROK,106.34
233,307508,2015-12-03,105.99,106.15,103.18,104.08,1244765,ROK,104.665
234,307509,2015-12-04,104.33,106.75,103.8101,106.73,1231000,ROK,105.28005
235,307510,2015-12-07,106.04,106.9799,105.94,106.84,1204289,ROK,106.45994999999999
236,307511,2015-12-08,105.44,105.66,103.82,103.91,1018199,ROK,104.74
237,307512,2015-12-09,103.64,105.91,103.219,103.81,870728,ROK,104.5645
238,307513,2015-12-10,103.73,104.95,103.19,103.7,692691,ROK,104.07
239,307514,2015-12-11,102.41,103.23,101.38,101.58,977636,ROK,102.305
240,307515,2015-12-14,101.84,103.41,101.44,103.34,1311865,ROK,102.425
241,307516,2015-12-15,103.62,103.805,101.51,101.54,1440979,ROK,102.6575
242,307517,2015-12-16,102.78,104.0,101.72,103.38,1633211,ROK,102.86
243,307518,2015-12-17,103.31,104.06,99.97,100.02,1220250,ROK,102.015
244,307519,2015-12-18,100.02,100.63,98.92,99.62,1525579,ROK,99.775
245,307520,2015-12-21,100.69,101.24,99.58,100.75,684833,ROK,100.41
246,307521,2015-12-22,101.33,102.6,99.74,102.01,940556,ROK,101.16999999999999
247,307522,2015-12-23,102.8,104.47,102.22,104.2,855811,ROK,103.345
248,307523,2015-12-24,104.05,105.0,103.39,103.82,298185,ROK,104.195
249,307524,2015-12-28,103.52,104.13,102.63,103.23,504006,ROK,103.38
250,307525,2015-12-29,104.06,105.18,103.61,104.96,645839,ROK,104.39500000000001
251,307526,2015-12-30,104.55,105.47,103.91,103.98,503189,ROK,104.69
252,307527,2015-12-31,103.73,104.15,102.61,102.61,563351,ROK,103.38
253,307528,2016-01-04,100.71,101.55,99.03,101.52,1429310,ROK,100.28999999999999
254,307529,2016-01-05,101.18,101.94,100.1,100.61,670610,ROK,101.02
255,307530,2016-01-06,99.1,99.56,97.02,97.92,1400820,ROK,98.28999999999999
256,307531,2016-01-07,96.08,96.39,93.22,93.43,1859963,ROK,94.805
257,307532,2016-01-08,94.15,95.4899,93.22,93.47,1245986,ROK,94.35495
258,307533,2016-01-11,94.02,94.57,92.45,93.45,1435527,ROK,93.50999999999999
259,307534,2016-01-12,94.76,94.97,92.75,94.32,1089518,ROK,93.86
260,307535,2016-01-13,94.78,95.5,92.64,92.97,1382211,ROK,94.07
261,307536,2016-01-14,93.37,94.26,91.3,92.59,1509130,ROK,92.78
262,307537,2016-01-15,89.9,92.42,89.48,91.68,1537660,ROK,90.95
263,307538,2016-01-19,92.63,92.85,89.851,91.26,1690256,ROK,91.3505
264,307539,2016-01-20,89.47,90.75,87.525,89.71,2139688,ROK,89.1375
265,307540,2016-01-21,90.59,91.51,88.11,90.06,1326414,ROK,89.81
266,307541,2016-01-22,91.45,92.46,89.94,91.58,883342,ROK,91.19999999999999
267,307542,2016-01-25,91.46,91.83,89.68,90.66,1380793,ROK,90.755
268,307543,2016-01-26,91.42,95.42,91.13,94.47,2477716,ROK,93.275
269,307544,2016-01-27,92.07,97.46,91.99,93.87,2249986,ROK,94.725
270,307545,2016-01-28,93.86,94.575,92.15,93.13,1703598,ROK,93.36250000000001
271,307546,2016-01-29,93.55,95.74,92.7,95.57,1306749,ROK,94.22
272,307547,2016-02-01,94.36,95.2,92.92,94.47,1417993,ROK,94.06
273,307548,2016-02-02,93.12,93.8,92.07,92.73,1539134,ROK,92.935
274,307549,2016-02-03,93.79,95.17,91.86,95.06,1445114,ROK,93.515
275,307550,2016-02-04,95.31,101.67,95.31,98.64,2654451,ROK,98.49000000000001
276,307551,2016-02-05,98.63,99.74,97.38,98.83,2336353,ROK,98.56
277,307552,2016-02-08,97.62,98.09,95.92,97.4,1104791,ROK,97.005
278,307553,2016-02-09,96.01,98.1,95.81,97.27,1033921,ROK,96.955
279,307554,2016-02-10,97.58,98.32,95.42,95.55,897271,ROK,96.87
280,307555,2016-02-11,92.93,95.01,91.65,93.99,1135741,ROK,93.33000000000001
281,307556,2016-02-12,95.25,96.7,93.98,96.33,1431581,ROK,95.34
282,307557,2016-02-16,97.62,101.07,96.34,100.26,1555848,ROK,98.705
283,307558,2016-02-17,101.05,102.78,101.05,102.25,1346409,ROK,101.91499999999999
284,307559,2016-02-18,102.5,103.15,101.5,101.92,897494,ROK,102.325
285,307560,2016-02-19,101.26,102.05,99.67,101.6,1010760,ROK,100.86
286,307561,2016-02-22,102.9,105.4,102.68,105.07,1963960,ROK,104.04
287,307562,2016-02-23,104.36,105.2899,102.62,102.66,1042797,ROK,103.95495
288,307563,2016-02-24,101.39,102.57,99.94,102.41,976806,ROK,101.255
289,307564,2016-02-25,102.45,104.06,101.94,104.04,935158,ROK,103.0
290,307565,2016-02-26,104.79,105.445,104.26,104.88,849163,ROK,104.85249999999999
291,307566,2016-02-29,104.87,105.81,104.08,104.09,849577,ROK,104.945
292,307567,2016-03-01,105.11,107.6,104.5,106.8,962826,ROK,106.05
293,307568,2016-03-02,106.67,107.43,104.28,107.34,989590,ROK,105.855
294,307569,2016-03-03,107.5,107.75,105.72,106.98,889776,ROK,106.735
295,307570,2016-03-04,107.01,108.56,106.47,107.38,902534,ROK,107.515
296,307571,2016-03-07,107.02,108.88,107.02,108.84,610449,ROK,107.94999999999999
297,307572,2016-03-08,107.61,107.61,105.34,105.38,957564,ROK,106.475
298,307573,2016-03-09,106.07,106.665,105.03,105.22,785268,ROK,105.8475
299,307574,2016-03-10,105.52,106.5,104.48,106.09,904501,ROK,105.49000000000001
300,307575,2016-03-11,107.0,107.47,106.28,106.61,977721,ROK,106.875
301,307576,2016-03-14,106.13,107.74,105.69,107.55,660566,ROK,106.715
302,307577,2016-03-15,106.44,107.37,105.11,107.18,732703,ROK,106.24000000000001
303,307578,2016-03-16,107.09,109.75,106.67,109.54,875004,ROK,108.21000000000001
304,307579,2016-03-17,109.87,113.61,109.52,112.98,1524076,ROK,111.565
305,307580,2016-03-18,115.62,115.62,112.38,113.51,1595061,ROK,114.0
306,307581,2016-03-21,113.17,114.19,112.92,114.07,765494,ROK,113.555
307,307582,2016-03-22,113.24,114.6899,113.03,114.06,793486,ROK,113.85995
308,307583,2016-03-23,113.56,113.99,112.84,113.05,552878,ROK,113.41499999999999
309,307584,2016-03-24,111.95,112.17,110.52,111.57,1058645,ROK,111.345
310,307585,2016-03-28,112.03,112.3,110.88,111.89,518256,ROK,111.59
311,307586,2016-03-29,111.24,112.84,110.5125,112.75,773988,ROK,111.67625000000001
312,307587,2016-03-30,114.15,115.26,113.195,114.35,979505,ROK,114.22749999999999
313,307588,2016-03-31,114.15,114.71,113.31,113.75,777529,ROK,114.00999999999999
314,307589,2016-04-01,112.25,113.73,110.93,113.56,1326657,ROK,112.33000000000001
315,307590,2016-04-04,113.22,113.5397,111.92,111.95,781202,ROK,112.72985
316,307591,2016-04-05,110.97,111.86,110.42,111.37,836487,ROK,111.14
317,307592,2016-04-06,111.62,111.69,109.43,111.58,1195650,ROK,110.56
318,307593,2016-04-07,110.83,111.89,110.4,110.98,566010,ROK,111.14500000000001
319,307594,2016-04-08,112.43,113.345,110.95,111.49,524429,ROK,112.14750000000001
320,307595,2016-04-11,111.81,113.49,111.68,111.98,576211,ROK,112.58500000000001
321,307596,2016-04-12,112.0,113.64,111.99,112.99,394925,ROK,112.815
322,307597,2016-04-13,114.0,115.8,113.55,115.55,962801,ROK,114.675
323,307598,2016-04-14,115.41,116.73,113.79,116.41,1205064,ROK,115.26
324,307599,2016-04-15,116.21,116.96,115.45,116.86,931608,ROK,116.205
325,307600,2016-04-18,115.63,117.26,115.63,117.06,606624,ROK,116.445
326,307601,2016-04-19,117.32,118.19,115.71,116.19,935461,ROK,116.94999999999999
327,307602,2016-04-20,116.65,116.75,115.34,115.62,656743,ROK,116.045
328,307603,2016-04-21,115.04,116.23,114.68,114.99,532681,ROK,115.45500000000001
329,307604,2016-04-22,115.26,115.74,114.52,115.11,974689,ROK,115.13
330,307605,2016-04-25,114.56,115.93,114.56,114.77,649253,ROK,115.245
331,307606,2016-04-26,115.52,116.09,114.87,115.92,803461,ROK,115.48
332,307607,2016-04-27,114.54,116.3,112.5,115.69,908651,ROK,114.4
333,307608,2016-04-28,114.86,115.96,113.86,114.24,739357,ROK,114.91
334,307609,2016-04-29,113.96,114.4,112.85,113.47,894672,ROK,113.625
335,307610,2016-05-02,113.53,113.91,112.28,113.24,1120825,ROK,113.095
336,307611,2016-05-03,112.51,112.54,111.66,112.36,694467,ROK,112.1
337,307612,2016-05-04,112.02,112.57,110.45,111.05,768697,ROK,111.50999999999999
338,307613,2016-05-05,111.7,112.6202,111.01,111.68,1091344,ROK,111.8151
